,État,Designer,Taille,En ligne depuis le,nom,prix
152,Très bon état,Non Signé / Unsigned,44 IT,2022-04-06,"T-shirt extra large, long très confortable taille 44 en très bon étatTraduire","25 €
+15 € Contrôle et authentification"
153,Jamais porté avec étiquette,QUICKSILVER,42 FR,2022-04-05,T-shirt Coton Bio Quiksilver TAI DaiTraduire,"29 €
+15 € Contrôle et authentification"
154,Jamais porté avec étiquette,Juicy Couture,M International,2022-04-03,t-shirt nouveauTraduire,39 €
155,Très bon état,Marcelo Burlon,S International,2022-04-07,"T-shirt Marcello burlon en parfait état, taille comme un MTraduire","70 €
+15 € Contrôle et authentification"
156,Très bon état,Philipp Plein,XXL International,2022-04-07,"T-shirt homme Phillip Plein
motif strass sur le devant
Patch logo plein sur le cou
très rarement utilisé. Très bon état.
Traduire","128 €
+15 € Contrôle et authentification"
157,Jamais porté,Versace,46 IT,2022-04-07,t-shirt gianni VERSACE oversize jamais porté payé 405€Traduire,"200 €
+15 € Contrôle et authentification"
158,Très bon état,Non Signé / Unsigned,42 FR,2022-04-03,"t shirt fleural léger 
marque so sweet
possibilité de régler l'ouverture du dos nu.
doublure dans le bas du dos.
 légèrement décousu au niveau de la doublure mais non visible.
taille XLTraduire",26 €
159,Très bon état,Non Signé / Unsigned,36 FR,2022-04-02,"t shirt de sport noir avec des bandes rayé brillante.
taille S
marque athlitechTraduire","20 €
+15 € Contrôle et authentification"
160,Jamais porté,Versace,M International,2022-04-05,"T-shirt Versace
Jamais porté
Prix d'origine 700€Traduire","177,76 €"
161,Jamais porté,Fear of God ESSENTIALS,XL International,2022-04-05,"T-shirt Fear Of God Essentials Kids Beige Ringer
T-shirt à manches courtes en jersey de coton beige. Logo floqué en noir sur la poitrine.
Jamais porté (Neuf avec étiquette)

XL : 58-62""

 100% CotonTraduire","51,68 €"
162,Jamais porté,Alexander McQueen,L International,2022-04-03,"T-shirt blanc logo graffiti en taille L

Belles conditions 
Dimensions :
Épaules :47cm
Poitrine :54cm
Dos :73cmTraduire","240 €
+15 € Contrôle et authentification"
163,Correct,RVCA,L International,2022-04-02,"T-shirt édition spéciale RVCA avec l'artiste : Roberto Rodríguez Redondo, bon état mais avec des signes visibles d'âge (le graphique au dos est froissé) et sera repassé avant l'expéditionTraduire","20 €
+15 € Contrôle et authentification"
164,Très bon état,PEPE JEANS,40 FR,2022-04-03,t shirt blanc 3n très bon état peu porté Traduire,"16 €
+15 € Contrôle et authentification"
165,Très bon état,GCDS Mini,S International,2022-04-01,T-shirt GCDS taille S. Porté une fois. Condition excellente. Sans étiquette mais avec étiquette et code QR pour l'authenticité.Traduire,"75 €
+15 € Contrôle et authentification"
166,Très bon état,Versace,M International,2022-04-06,T-shirt maniche lunghe Versace sport bordeaux ottime condizioni cotone-elastenTraduire,"80 €
+15 € Contrôle et authentification"
167,Très bon état,Non Signé / Unsigned,XL International,2022-04-01,T-shirt Fyore Milano en excellent état.Traduire,30 €
168,Très bon état,Givenchy,S International,2022-04-03,T-shirt Givenchy au look détruitTraduire,"290 €
+15 € Contrôle et authentification"
169,Très bon état,Fendi,10 UK,2022-04-04,"T-shirt Fendi blanc 
Taille petit
Porté une fois 
Avec sac à poussièreTraduire","258,41 €
+15 € Contrôle et authentification"
170,Très bon état,CALVIN KLEIN JEANS,S International,2022-04-01,T-shirt Calvin Klein Jeans neuf sans défaut d'usureTraduire,"18 €
+15 € Contrôle et authentification"
171,Jamais porté avec étiquette,Dsquared2,M International,2022-04-02,t-shirt dsquared2 nera taglia M nuovaTraduire,"100 €
+15 € Contrôle et authentification"
172,Bon état,Chinatown market,M International,2022-04-08,T-shirt noir ”Call my avocat” par Chinatown Market. Taille M. Bon état.Traduire,"33 €
+15 € Contrôle et authentification"
173,Très bon état,Fendi,16 ans - M FR,2022-04-07,"T-shirt Fendi kids vestibilità grande
Corrisponde a una taglia S da donnaTraduire","70 €
+15 € Contrôle et authentification"
174,Jamais porté,Moschino,M International,2022-04-03,"T-shirt en coton Moschino, neuf, jamais porté, encore avec étiquette. Blanc avec impression au dos. Taille M. achetée au magasin de Milan pour mon fils mais il n'a pas aimé. Payer 142 euros.Traduire","93 €
+15 € Contrôle et authentification"
175,Bon état,Fendi,XL International,2022-04-04,"T-shirt noir logo Fendi Chenille F pour homme 
Taille XL 
PVC 450 £
Traduire","323,02 €
+15 € Contrôle et authentification"
176,Bon état,Lacoste,34 FR,2022-04-06,"T-shirt Lacoste en bon état, taille xs/sTraduire","25 €
+15 € Contrôle et authentification"
177,Jamais porté,Revelation Woman,36 FR,2022-04-05,"t shirt décolleté et ouvert dans le dos.
neuf jamais porté.
manches amples. imprimer plume
t shirt ceintré juste à la taille 
taille 36/38
Traduire","18 €
+15 € Contrôle et authentification"
178,Très bon état,Airness,34 FR,2022-04-08,t.shirt manche courte . porter une fois . très bon état . couleur noir et rose Traduire,"20 €
+15 € Contrôle et authentification"
179,Jamais porté avec étiquette,Calvin Klein,XL International,2022-04-03,"T-shirt Calvin klein bleu foncé à manches longues 
 Neuf avec étiquetteTraduire","40 €
+15 € Contrôle et authentification"
180,Très bon état,Non Signé / Unsigned,38 FR,2022-04-05,"t shirt zébré beige marron et noir
Manches et aisselle amples.
taille S/M
marque orfeo negroTraduire","38 €
+15 € Contrôle et authentification"
181,Très bon état,Tommy Jeans,XS International,2022-04-05,"T shirt Tommy Jeans homme taille S
Excellent, très peu portée aucune trace d’usure présente   encore les étiquettes du magasin.
Aucun défautTraduire","38 €
+15 € Contrôle et authentification"
182,Jamais porté,Custo Barcelona,1 0-5,2022-04-04,"T-shirt Barcelone personnalisé. Sur le devant, c'est une couleur rouge vin légèrement brillante et on voit un peu à travers le tissu. Derrière le tissu est comme le daim, le vert, le violet et l'or. Manches bouffantes roses. Sans utiliser.Traduire","30 €
+15 € Contrôle et authentification"
183,Jamais porté,DESIGUAL,38 FR,2022-04-05,T-shirt/maillot multicolore jamais portéTraduire,"25 €
+15 € Contrôle et authentification"
184,Très bon état,Armand Thiery,40 FR,2022-04-07,"t shirt noir avec col carré léopard.
manche 3/4
Marque Armand Thiery
taille 3
en parfait étatTraduire","17 €
+15 € Contrôle et authentification"
185,Très bon état,Polo Ralph Lauren,20 ans - XL FR,2022-04-06,T-shirt Polo Ralph Lauren XL (18-20) 170 / 88A bleu. En excellent état.Traduire,"24 €
+15 € Contrôle et authentification"
186,Très bon état,MAYORAL,8 ans - jusqu'à 128cm FR,2022-04-07,"T-shirt en coton maire blanc frais, en parfait étatTraduire","18 €
+15 € Contrôle et authentification"
187,Jamais porté avec étiquette,Karl Lagerfeld,XS International,2022-04-02,T-shirt Karl Lagerfeld taille XS. Neuf avec étiquette de prix.Traduire,"50 €
+15 € Contrôle et authentification"
188,Très bon état,MAYORAL,8 ans - jusqu'à 128cm FR,2022-04-07,"T-shirt bleu clair en coton mayoral, en parfait étatTraduire","18 €
+15 € Contrôle et authentification"
189,Très bon état,Armand Thiery,38 FR,2022-04-07,"t shirt violet et Lila au Col.
en parfait état sans défauts.
taille 2 
Armand ThieryTraduire","17 €
+15 € Contrôle et authentification"
190,Bon état,Non Signé / Unsigned,40 FR,2022-04-08,"t shirt avec poche.
couture originale.
taille L
marque o.k.sTraduire","29 €
+15 € Contrôle et authentification"
191,Jamais porté avec étiquette,Gucci,M International,2022-04-09,"T-shirt oversize Gucci par Alessandro Michele. Neuf, avec étiquette.
 Logo GuccY, utilisé lors des défilés 2018/2019, avec le chiffre romain 25, chiffre porte-bonheur du créateur. 
 Super glamour proposé sous un costume avec un pantalon s...Lire la suiteTraduire","215 €
+15 € Contrôle et authentification"
192,Jamais porté,Pinko,42 FR,2022-04-04,T-shirt di Pinko taglia 42Traduire,37 €
193,Jamais porté,Gucci,XS International,2022-04-07,"T-shirt manches courtes en jersey gris chiné avec un imprimé signature. 100% Coton. Etiquette de taille XS. Epaules 51cm, longueur 73cm.Traduire","185 €
+15 € Contrôle et authentification"
194,Jamais porté avec étiquette,MET,S International,2022-04-04,T-shirt à manches longues avec logo MET central à paillettes.Traduire,90 €
195,Jamais porté,Calvin Klein,XXL International,2022-04-05,T-shirt Calvin Klein Comme neuf… jamais porté !! En parfaite conditionTraduire,28 €
196,Jamais porté,Jacquemus,L International,2022-03-31,T-shirt JACQUEMUS A en jersey blanc / manches mi-longues / drapé sous les bras / drapé sur les hanches / longueur hanchesTraduire,72 €
197,Très bon état,Balenciaga,S International,2022-03-29,"T-shirt très rare avec imprimé Santo Spirito 
 Taille M mais taille petitTraduire",154 €
198,Très bon état,Isabel Marant Etoile,S International,2022-04-03,"T-shirt couleur bordeaux Isabel Marant. Très peu porté et en parfait état. 

Le T-shirt parfait pour l'été !
Traduire",40 €
199,Très bon état,Emporio Armani,L International,2022-04-05,"T-shirt blanc Armani Exchange 
 ✅ En excellent état, comme neuf 
 📐 Taille L 
 🎨 Couleur blanc noir ⚪⚫ 
 
 ℹ️ Pour tout informations ou si vous souhaitez d'autres photos n'hésitez pas à les demander, elles sont à votre disposition. ...Lire la suiteTraduire","23 €
+15 € Contrôle et authentification"
200,Très bon état,Gucci,M International,2022-04-09,T shirt Gucci en coton bicolore gris bleu/bleu en excellent étatTraduire,"99 €
+15 € Contrôle et authentification"
201,Très bon état,Amiri,M International,2022-04-04,"t shirt Amiri, medium, noir, très bon étatTraduire",120 €
202,Très bon état,Vetements,S International,2022-03-18,"T-shirt Vetements Graphic Printed, taille S mais taille comme du L.Très bon état, peu porté.Traduire","142,41 €"
203,Jamais porté,Gucci,S International,2022-04-09,"T-shirt Gucci Red Sequin Winged Skull 
 Neuf avec étiquette jamais porté 
 Taille S 
 Coton brodé de sequins 
 Prix boutique 1100€Traduire","264 €
+15 € Contrôle et authentification"
204,Jamais porté avec étiquette,Anine Bing,M International,2022-04-08,"T-shirt Anine Bing lili taille medium. 
100 % coton .Traduire","87,86 €
+15 € Contrôle et authentification"
205,Très bon état,Dior Homme,XL International,2022-04-07,T-shirt noir en coton avec des surpiqûresTraduire,"135 €
+15 € Contrôle et authentification"
206,Très bon état,Balenciaga,S International,2022-04-02,T-shirt noir avec écriture bleue dans le dosTraduire,130 €
207,Très bon état,Rouje,36 FR,2022-04-08,"T-shirt GIUIA Rouje
Uni Crème

Parfait état - porté une foisTraduire","50 €
+15 € Contrôle et authentification"
208,Très bon état,Balenciaga,M International,2022-04-09,T shirt manches courtes BalenciagaTraduire,"170 €
+15 € Contrôle et authentification"
209,Très bon état,Vivienne Westwood,M International,2022-03-27,"T-shirt PROPAGANDA, coupe slimTraduire",71 €
210,Bon état,Gucci,M International,2022-04-01,"T-shirt GUCCI vintage, taille M. Col en pin avec boutons, avec des signes minimes d'usure, Il a un petit trou (voir photos), en bon état.Traduire",67 €
211,Correct,Dsquared2,40 IT,2022-04-05,T-shirt blanc DsquaredTraduire,"60 €
+15 € Contrôle et authentification"
212,Très bon état,Lacoste Live,S International,2022-04-04,"T shirt Lacoste Live homme taille S.
Bon état, a été portée (quelques trace d’usures comme des légers accros, voir photos toutes les imperfections sont mise en valeur).
Traduire","27 €
+15 € Contrôle et authentification"
213,Jamais porté,Givenchy,XL International,2022-04-08,"T-shirt Givenchy Rare Rainbow logo, disponible en XL, étiquettes attachées, expédition rapide.Traduire","135 €
+15 € Contrôle et authentification"
214,Très bon état,Marc by Marc Jacobs,M International,2022-04-01,"T-shirt Soie Cachemire Marc by Marc Jacobs avec 2 poches devant.
Taille M.
Très bon état.Traduire","70 €
+15 € Contrôle et authentification"
215,Jamais porté avec étiquette,Rabens Saloner,42 FR,2022-04-01,T-shirt en coton non porté à imprimé dessin animé HippstersTraduire,24 €
216,Très bon état,Balenciaga,S International,2022-04-02,T-shirt oversize BALENCIAGATraduire,118 €
217,Jamais porté,Givenchy,XXL International,2022-04-08,"T-shirt arc-en-ciel esprit rare Givenchy, étiquettes taille XXL attachées.Traduire","125 €
+15 € Contrôle et authentification"
218,Très bon état,Vivienne Westwood,L International,2022-04-07,"T-shirt Vivienne Westwood bleu marine



Bon état, aucun défaut ni tache


Poitrine : 55,9 cm 
Longueur : 63,5 cmTraduire","55,66 €
+15 € Contrôle et authentification"
219,Très bon état,Burberry,42 FR,2022-04-01,T-shirt à manches trois quarts.Traduire,42 €
220,Très bon état,Loewe,L International,2022-04-01,T-shirt Loewe x Paula's IbizaTraduire,"180 €
+15 € Contrôle et authentification"
221,Jamais porté avec étiquette,Ganni,36 FR,2022-04-09,T-shirt chic GANNI. Taille 36.Traduire,"75 €
+15 € Contrôle et authentification"
222,Jamais porté,Givenchy,XXL International,2022-04-08,"T-shirt Givenchy Shoulders Text, étiquettes attachées taille XXL. expédition rapide.Traduire","125 €
+15 € Contrôle et authentification"
223,Jamais porté avec étiquette,Prada,M International,2022-03-28,"t-shirt col bateau, en coton, avec étiquetteTraduire","115 €
+15 € Contrôle et authentification"
224,Jamais porté avec étiquette,Heron Preston,M International,2022-04-08,T-shirt Heron Preston Motifs de hérons fendus. Noir et orange taille M. Oversize. Étiquettes encore dessus.Traduire,"116,29 €
+15 € Contrôle et authentification"
225,Jamais porté avec étiquette,Fendi,M International,2022-04-07,"T-shirt en jersey noir col rond et manches courtes. 
Réalisé en jersey de coton noir. 
Orné de l’inscription FENDI et d’une broderie ton sur ton.
valeur neuve en boutique : 650€
Fabriqué en ItalieTraduire",295 €
226,Jamais porté,Gucci,XS International,2022-03-28,"T-shirt Gucci neuf avec étiquette. 
 Taille xsTraduire",199 €
227,Jamais porté avec étiquette,Balenciaga,S International,2022-04-06,"T-shirt Balenciaga Gris et Rose Logo Patch

-Taille S Coupe régulière
-Neuf avec étiquette
- Modèle femme mais unisexe
-SS18
-PVC 450 $

Dosseret : 50 cm
Épaules : 44 cm
Longueur : 70 cmTraduire","226,11 €
+15 € Contrôle et authentification"
228,Très bon état,Nike,S International,2022-04-09,T-SHIRT NIKETraduire,"25 €
+15 € Contrôle et authentification"
229,Jamais porté,Acne Studios,S International,2022-04-09,T-shirt rose clair Acne Studios. Taille S. Surpiqûres apparentes grises et logo brodé sur le devant. Nouvelle!Traduire,"58,14 €
+15 € Contrôle et authentification"
230,Très bon état,Dior,M International,2022-03-31,T-shirt Christian Dior à manches courtes et boutons. Détail fleur de soie. Il est en très bon état. Il n'y a pas d'étiquette intérieure de la taille et de la compositionTraduire,90 €
231,Jamais porté avec étiquette,Givenchy,S International,2022-03-28,"T-shirt femme Givenchy neuf jamais porté avec son étiquette, taille sTraduire",200 €
232,Jamais porté,Nike x Off-White,S International,2022-03-24,"T-shirt collaboration Nike x Off-White super limité, taille S (fonctionne aussi comme M) porté une fois pour l'essayer. Parfait état, je le vends car ce n'est pas la bonne taille.Traduire",56 €
233,Bon état,Saint Laurent,M International,2022-04-09,T-shirt blanc avec logo Saint Laurent. Pas d'étiquette de taille mais a été acheté en taille M. Taches mineures comme indiqué sur les photosTraduire,"96,91 €
+15 € Contrôle et authentification"
234,Jamais porté avec étiquette,Etro,S International,2022-04-08,"t-shirt new etro pour homme avec étiquettes 
pas d'étiquette à l'intérieur
taille S, fabriqué en italie, logo imprimé, logo brodé sur la manche gauche
photos avec mesuresTraduire",30 €
235,Très bon état,Givenchy,XS International,2022-03-25,T-shirt Givenchy Riccardo Tisci en coton noir avec imprimé Dobermann iconique sur les manches. Très bonne conditionTraduire,90 €
236,Bon état,Maison Martin Margiela,M International,2022-04-01,"T-shirt ballon SS07 Maison Martin Margiela

Taille 50 convient au s/m

Bon état

Traduire","92,77 €"
237,Très bon état,Palm Angels,M International,2022-04-06,"T-shirt ours des glaces Palm Angels, medium, écru, très bon étatTraduire","150 €
+15 € Contrôle et authentification"
238,Jamais porté avec étiquette,Palm Angels,XS International,2022-03-16,"T-shirt à manches longues Palm Angels Purple Blurry logo

-Taille XS Coupe oversize
-Nouveau avec étiquette
-FW21
-RRP $345[ [2]]
De fosse à fosse : 62,5 cm
Épaules : 76cm
Longueur des manches : 41cm
Longueur : 70,5cmTraduire","245,49 €
+15 € Contrôle et authentification"
239,Jamais porté,Nike x Off-White,S International,2022-03-24,"T-shirt collaboration Nike x Off-White super limité, taille S (fonctionne aussi comme M) porté une fois pour l'essayer. Parfait état, je le vends car ce n'est pas la bonne taille.Traduire",56 €
240,Bon état,Saint Laurent,M International,2022-04-09,T-shirt blanc avec logo Saint Laurent. Pas d'étiquette de taille mais a été acheté en taille M. Taches mineures comme indiqué sur les photosTraduire,"96,91 €
+15 € Contrôle et authentification"
241,Jamais porté avec étiquette,Etro,S International,2022-04-08,"t-shirt new etro pour homme avec étiquettes 
pas d'étiquette à l'intérieur
taille S, fabriqué en italie, logo imprimé, logo brodé sur la manche gauche
photos avec mesuresTraduire",30 €
242,Très bon état,Givenchy,XS International,2022-03-25,T-shirt Givenchy Riccardo Tisci en coton noir avec imprimé Dobermann iconique sur les manches. Très bonne conditionTraduire,90 €
243,Bon état,Maison Martin Margiela,M International,2022-04-01,"T-shirt ballon SS07 Maison Martin Margiela

Taille 50 convient au s/m

Bon état

Traduire","92,77 €"
244,Très bon état,Palm Angels,M International,2022-04-06,"T-shirt ours des glaces Palm Angels, medium, écru, très bon étatTraduire","150 €
+15 € Contrôle et authentification"
245,Jamais porté avec étiquette,Palm Angels,XS International,2022-03-16,"T-shirt à manches longues Palm Angels Purple Blurry logo

-Taille XS Coupe oversize
-Nouveau avec étiquette
-FW21
-RRP $345[ [2]]
De fosse à fosse : 62,5 cm
Épaules : 76cm
Longueur des manches : 41cm
Longueur : 70,5cmTraduire","245,49 €
+15 € Contrôle et authentification"
246,Jamais porté,Balenciaga,S International,2022-04-08,"T-shirt jaune noté Balenciaga
Neuf Livré avec facture
Taille petit
Longueur : 57 cm
Aisselle à aisselle : 44 cm
Manche d'épaule : 41 cm
Traduire","185,54 €
+15 € Contrôle et authentification"
247,Très bon état,Off-White,M International,2022-04-07,T-shirt oversize porté quelques foisTraduire,"135 €
+15 € Contrôle et authentification"
248,Jamais porté,Loewe,S International,2022-03-25,"T-shirt à larges manches longues de la marque haut de gamme espagnole Loewe. Top en coton blanc à motif bleu foncé avec l'inscription 'T-shirt'. Col arrondi, manches larges et bas arrondi. Taille S. Taille européenne 36. Top en excellent ét...Lire la suiteTraduire",90 €
249,Très bon état,Givenchy,XS International,2022-03-25,"T-shirt noir Givenchy Riccardo Tisci avec imprimé bouche de requin avec étoile. Imprimé iconique en excellent état, pratiquement neufTraduire",99 €
250,Très bon état,Marni,44 IT,2022-04-09,"T shirt manche longue Marni .
Coton très léger et doux 
Convient à une taille française 36/38Traduire",48 €
251,Très bon état,Yves Saint Laurent,XS International,2022-04-08,"T-shirt blanc classique
Ceinture imprimée façon velours noirTraduire","67,19 €
+15 € Contrôle et authentification"
252,Très bon état,Isabel Marant Etoile,S International,2022-04-07,"T Shirt manches longues, fermé devant par des petits boutonsTraduire","65 €
+15 € Contrôle et authentification"
253,Très bon état,Jacquemus,S International,2022-04-01,"T-shirt Jacquemus en taille Small. J'ai découpé l'étiquette intérieure de la marque, car cela me dérangeait. 100% coton
Porté quelques fois seulement, très bon état, juste besoin d'être repasséTraduire","100 €
+15 € Contrôle et authentification"
254,Jamais porté,Gucci,XXS International,2022-03-24,T-shirt Gucci Neuf TxxsTraduire,234 €
255,Jamais porté,Gucci,XS International,2022-04-01,"T-shirt en maille noir et or. Motif G partout. Bord-côte sur les bords, tissu stretch, col rond, manches courtes. Taille XS, longueur 58cm, épaules 36cm. 79 % laine, 11 % polyester, 10 % nylon. Fabriqué en Italie.Traduire","325 €
+15 € Contrôle et authentification"
256,Jamais porté avec étiquette,Anine Bing,S International,2022-04-07,"T-shirt tigre couleur pierre Anine Bing taille petit. 
100 % coton léger.Traduire","87,86 €
+15 € Contrôle et authentification"
257,Très bon état,Prada,38 IT,2022-04-08,T-shirt mis peu de fois 100% COTTONTraduire,"47 €
+15 € Contrôle et authentification"
258,Jamais porté,Balenciaga,S International,2022-04-05,T-shirt de nettoyage à secTraduire,360 €
259,Très bon état,Adidas,S International,2022-04-02,"T shirt Adidas originals Rival Golie To 
Printemps Été 2018
Rawind/Blanc/Legink 
taille S uk/us/it
prix d'origine 74,95 € [[ 2]]Parfait état, étiquette d'origine, porté 5 fois 
100% d'origineTraduire",20 €
260,Jamais porté avec étiquette,Anine Bing,S International,2022-04-07,"T-shirt Anine Bing lili taille petit. 
100 % coton.Traduire","87,86 €
+15 € Contrôle et authentification"
261,Jamais porté avec étiquette,Louis Vuitton,M International,2022-04-06,"T-shirt Louis Vuitton neuf avec étiquette 
Traduire","160 €
+15 € Contrôle et authentification"
262,Jamais porté,Dior,M International,2022-04-07,"T-shirt Dior "" Around the World "" Stella Motif, blanc avec imprimé bleu, neuf et jamais porté, y compris toutes les cartes/étiquettes, taille M, coupe classique, 85 % coton, 15 % lin, fabriqué en Italie.Traduire","350 €
+15 € Contrôle et authentification"
263,Très bon état,Prada,S International,2022-03-28,T-shirt bleu clair. Tissu avec filet.Traduire,40 €
264,Jamais porté,Balenciaga,XS International,2022-04-07,T-shirt oversize Balenciaga (Taille xs). Jamais porté et comprend des étiquettes.Traduire,"258,41 €"
265,Bon état,Givenchy,L International,2022-04-06,"T-shirt à poche en coton blanc Givenchy des années 80. Taille de l'étiquette d'entretien : L. Taille : L. 100 % coton. Condition excellente. L'article montre des signes d'utilisation douce. Légère marque sur le devant, marque au verso égale...Lire la suiteTraduire","83,98 €
+15 € Contrôle et authentification"
266,Jamais porté,Anine Bing,S International,2022-04-07,"T-shirt de sport Anine Bing taille petit.
100% coton.Traduire","87,86 €
+15 € Contrôle et authentification"
267,Très bon état,Prada,M International,2022-04-08,"T-shirt femme Prada, taille S/M 
 sur le côté gauche a une fermeture éclair Prada 
Traduire","45 €
+15 € Contrôle et authentification"
268,Très bon état,Dior Homme,M International,2022-03-23,"T shirt Dior homme - taille M
Très bon étatTraduire",122 €
269,Jamais porté,Heron Preston,M International,2022-04-07,T-shirt Héron PrestonTraduire,"80 €
+15 € Contrôle et authentification"
270,Jamais porté,Saint Laurent,S International,2022-03-23,"T shirt en lin Saint Laurent jamais porté!
Taille S 
Modèle un peu ""loose""Traduire",150 €
271,Jamais porté avec étiquette,Gucci,S International,2022-03-04,t-shirt GucciTraduire,"148,59 €"
272,Très bon état,Anine Bing,M International,2022-04-07,T-shirt - Faye Dunaway par le légendaire photographe Terry O'NeillTraduire,"50 €
+15 € Contrôle et authentification"
273,Très bon état,Acne Studios,M International,2022-04-07,t-shirt fin écru Acne studios taille MTraduire,"38 €
+15 € Contrôle et authentification"
274,Bon état,JORDAN,XL International,2022-04-09,"T-shirt surdimensionné 
Traduire","20 €
+15 € Contrôle et authentification"
275,Jamais porté avec étiquette,Supreme x The North Face,L International,2022-04-07,"T-shirt acheté sur le site suprême.
Taille L
Produit jamais sorti de son emballage (comme sur les photos)
Envoie rapide et soigné.
Plus d’informations en messages, j’essaie de répondre au plus vite.Traduire","90 €
+15 € Contrôle et authentification"
276,Jamais porté,Balenciaga,XS International,2022-04-05,T-shirt coupe large salut mon nom estTraduire,300 €
277,Jamais porté,Off-White,XS International,2022-03-15,"T-shirt blanc cassé à manches longues avec bande de bagage noire

-Taille XXS, Coupe ajustée
-Neuf sans étiquette
-SS20
- Prix de vente conseillé 365 $
-Modèle très recherché

De fosse à fosse : 41 cm
Épaules : 39cm
Longueur des manches : 6...Lire la suiteTraduire","206,73 €
+15 € Contrôle et authentification"
278,Bon état,Acne Studios,M International,2022-04-08,T-shirt Acne Studios couleur peau taille M utilisé mais bon état acnestudiosTraduire,"55 €
+15 € Contrôle et authentification"
279,Jamais porté,Prada,M International,2022-04-06,"T-shirt indémodable PRADA en coton rayé à encolure bateau. La couleur est bleu et blanc. Il y a aussi une étiquette Prada à l'arrière du cou. Sa taille M mais pour être honnête c'est un petit ajustement, Plus un S. irait aussi à une fille.Traduire","110 €
+15 € Contrôle et authentification"
280,Jamais porté,Prada,M International,2022-04-06,"T-shirt indémodable PRADA en coton rayé à encolure bateau. La couleur est bleu et blanc. Il y a aussi une étiquette Prada à l'arrière du cou. Sa taille M mais pour être honnête c'est un petit ajustement, Plus un S. irait aussi à une fille.Traduire","110 €
+15 € Contrôle et authentification"
281,Très bon état,Saint Laurent,L International,2022-04-08,"T-shirt rose Saint Laurent

Porté quelques fois seulement.
Acheté chez Net-a-Porter

Prix conseillé : 265 £[[2] ]]Taille LTraduire","96,91 €
+15 € Contrôle et authentification"
282,Jamais porté,Gucci,M International,2022-03-21,"T-shirt imprimé graphique Gucci Sexiness, fabriqué en Italie

Taille : M 
Matière : Coton 100%Traduire",240 €
283,Bon état,Prada,XS International,2022-03-30,T-shirt avec zip sur le devant bleu clair au dos porte une poche comme sur la photoTraduire,63 €
284,Bon état,Balenciaga,S International,2022-03-19,"T-shirt col V Balenciaga Paris dans un coton très doux et confortable
Il est livré avec deux petits trous effet vintage dans le bas
Très rareTraduire",96 €
285,Jamais porté avec étiquette,Maison Martin Margiela,M International,2022-04-08,T-shirt couleur corail taille M pour homme de la Maison Margiela avec imprimé mmTraduire,"90 €
+15 € Contrôle et authentification"
286,Jamais porté,Jean Paul Gaultier,M International,2022-03-23,T-shirt en coton rayé noir et blanc avec des profils rouges. Pull côtelé. Il marque un M mais il est très sec. Porte un petit.Traduire,71 €
287,Très bon état,Dior Homme,XXXL International,2022-04-06,"T-shirt dior homme XXXL 
Porté 1 fois Lavé au pressing 
Traduire",270 €
288,Jamais porté,Balenciaga,M International,2022-04-03,T-shirt Balenciaga neuf jamais porté Traduire,240 €
289,Très bon état,Pyrex,M International,2022-04-02,T-shirt PyrexTraduire,22 €
290,Très bon état,Dior,S International,2022-03-25,"T-shirt vintage monogramme fleur de cerisier Christian Dior 
Très bon étatTraduire",199 €
291,Très bon état,Prada,M International,2022-04-07,T-shirt Prada a maniche lungheTraduire,"72 €
+15 € Contrôle et authentification"
292,Très bon état,Jean Paul Gaultier,42 IT,2022-03-23,T shirt nera che simula un’altra maglietta bianca sotto. Cotone.Traduire,61 €
293,Très bon état,Balenciaga,M International,2022-03-22,"T shirt avec poche 
 Faux cols postés sur photosTraduire",72 €
294,Jamais porté avec étiquette,Prada,M International,2022-03-20,"T-shirt femme Prada Luna Rossa. Taille M. Neuf, jamais utilisé avec étiquette.Traduire",77 €
295,Très bon état,Vivienne Westwood,L International,2022-04-05,"T-shirt Vivienne Westwood blanc avec logo sur le devant. Fentes sur le bas, taille L. Très bon étatTraduire","65 €
+15 € Contrôle et authentification"
296,Jamais porté,Helmut Lang,M International,2022-03-19,T Shirt Helmut Lang - Sin Usar talla MTraduire,58 €
297,Très bon état,Balenciaga,S International,2022-03-12,T-shirt imprimé Balenciaga by Nicolas Ghesquiere en coton doux. Peu porté et en très bon état.Traduire,153 €
298,Bon état,APC,S International,2022-04-08,T-shirt bleu clair APC en coton de poids moyen. Coupe droite. Ample. Porté quelques fois mais toujours en très bon état.Traduire,"26,67 €
+15 € Contrôle et authentification"
299,Très bon état,Amiri,M International,2022-04-06,"t shirt Amiri, medium, noir, très bon étatTraduire","150 €
+15 € Contrôle et authentification"
300,Très bon état,Prada,L International,2022-04-07,T-shirt Prada Lunarossa a maniche lunghe con logo.Traduire,"72 €
+15 € Contrôle et authentification"
301,Très bon état,Stone Island,L International,2022-03-21,"T-shirt à manches longues avec logo Stone Island


Un style à manches longues idéal pour la superposition, que vous soyez sur ou hors des terrasses, ce t-shirt en jersey de coton de Stone Island est sûr de être un incontournable pour de nom...Lire la suiteTraduire","118 €
+15 € Contrôle et authentification"
302,Jamais porté,Martine Rose,S International,2022-03-27,"T-shirt logo jacquard blanc avec double entrée de col, coupe ampleTraduire","99 €
+15 € Contrôle et authentification"
