,État,Marque,TAILLE,Date,nom,Prix,Description
99,NEUF AVEC ÉTIQUETTE,TWIGGY CREATIVE UNIVERSE,M,2022-04-09,T-SHIRT OVERSIZE TWIGGY CREATIVE UNIVERSE,35.0,"T-SHIRT OVERSIZE BEIGE DE LA MARQUE FRANÇAISE DE STREETWEAR TWIGGY CREATIVE UNIVERSE 100% COTON EN 220GR.
DESSIN DANS LE DOS DE L'ARTISTE HILDE LASZAK.
SERIE LIMITÉE.
NEUF AVEC ÉTIQUETTE."
100,TRÈS BON ÉTAT,ADIDAS,M,2022-04-01,"ADIDAS T-SHIRT, ROOD MAAT M",7.5,"ROOD ADIDAS T-SHIRT, GEDRAGEN , HELAAS TE KLEIN , MAAR M"
101,TRÈS BON ÉTAT,,L,2022-03-26,JUDAS PIEST HEAVY METAL T SHIRT,10.0,OTTIME CONDIZIONI
102,BON ÉTAT,FILA,S,2022-04-04,T SHIRT FILA,5.0,"T SHIRT FILA À RAYURES 
TAILLE : M (ÉQUIVAUT À S)
COLORIS : NOIR 
MATIÈRE : 96% COTON 4% ELASTHANE 
BON ÉTAT"
103,TRÈS BON ÉTAT,EASY WEAR,L / 40 / 12,2022-04-09,CAMISETA EASY WEAR,2.5,CAMISETA DE MANGA CORTA BLANCA CON FLECOS VERDES. PUESTA MUY POCAS VECES EN PERFECTAS CONDICIONES. TALLA L (MY FAVORITE T-SHIRT) 😍
104,TRÈS BON ÉTAT,ADIDAS,M,2022-04-06,T-SHIRT BLANC ADIDAS,12.0,"TAILLE M CORRECTEMENT, PAS DE TACHE NI USURE."
105,TRÈS BON ÉTAT,LACOSTE,XS,2022-03-30,T SHIRT LACOSTE GRIS XS,15.0,PRESQUE PAS PORTÉ JE LE VENDS CAR PAS À MA TAILLE. PRIX NON NÉGOCIABLE.
106,NEUF AVEC ÉTIQUETTE,MERKLOOS,M / 38 / 10,2022-04-07,DOR T-SHIRT S/M,9.99,NIEUW IN VERPAKKING MET KAARTJE. GESTOPT MET WEBSHOP :’)
107,TRÈS BON ÉTAT,NAKETANO,S / 36 / 8,2022-04-07,T-SHIRT NAKETANO,6.0,"T-SHIRT NAKETANO MOTIF OISEUX.
TRÈS PEU PORTÉ CAR TROP PETIT.."
108,TRÈS BON ÉTAT,RALPH LAUREN,L,2022-04-09,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE L
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
109,NEUF AVEC ÉTIQUETTE,EDWIN,S,2022-03-28,EDWIN - DRAGON T-SHIRT,30.0,"EDWIN
T-SHIRT UOMO
TAGLIA S
BUONA VESTIBILITÀ,
ARTICOLO NUOVO CON CARTELLINO"
110,TRÈS BON ÉTAT,BOUTIQUE INDÉPENDANTE,TAILLE UNIQUE,2022-04-09,T-SHIRT BLANC COEUR ROUGE,17.0,"-T-SHIRT BLANC MANCHE COURTE 
- PETITS CŒURS ROUGE BRODÉS 
- COL V 
100% COTON 
TAILLE UNIQUE 
NEUF AVEC ÉTIQUETTE 🏷"
111,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,M,2022-03-25,T-SHIRT TOMMY HILFIGER,28.0,JAMAIS PORTÉ 🌼
112,NEUF AVEC ÉTIQUETTE,NOBRAND,TAILLE UNIQUE,2022-04-07,T-SHIRT NOME,25.0,100% COTONE
113,BON ÉTAT,ELLESSE,L,2022-04-07,T-SHIRT ELLESSE NÉGOCIABLE,10.0,"PORTÉ PLUSIEURS FOIS 👕
ÉTAT CORRECT ✅
NÉGOCIABLE DANS LA LIMITE DU RAISONNABLE 💶"
114,NEUF SANS ÉTIQUETTE,EMPORIO ARMANI,XL,2022-04-06,T-SHIRT EMPORIO ARMANI GRIS L/XL,12.5,"NEUF JAMAIS PORTÉ, TAILLE XL MAIS CORRESPOND À UN L SLIM. PRIX NÉGOCIABLE DANS LA LIMITE DU RAISONNABLE 👍"
115,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,S / 36 / 8,2022-03-22,T-SHIRT BLEU MARINE TOMMY HILFIGER FEMME,25.0,"T-SHIRT BLEU MARINE COL EN V TOMMY HILFIGER FEMME EN TAILLE S
JAMAIS PORTÉ, NEUF AVEC UNE ÉTIQUETTE

NOM DE L’ARTICLE : T-SHIRT HÉRITAGE COL EN V, COULEUR MIDNIGHT
RÉFÉRENCE DE L’ARTICLE : HTTPS://FR.TOMMY.COM/T-SHIRT-HERITAGE-COL-EN-V-WW0WW24969403"
116,NEUF SANS ÉTIQUETTE,NIKE,XS,2022-04-01,T-SHIRT NIKE,25.0,"T-SHIRT NIKE EN MATIÈRE DURABLE, IL EST ASSEZ ÉPAIS"
117,TRÈS BON ÉTAT,NIKE,S,2022-04-03,T-SHIRT NIKE,10.0,"T-SHIRT NIKE TRES PEU PORTÉ, EN TRÈS BON ÉTAT TAILLE S"
118,NEUF SANS ÉTIQUETTE,SET,S / 36 / 8,2022-04-05,"SET DUE T SHIRT DI COTONE LEGGERO,BIANCO E NERA CON BORDATURA DORATA,MISURA S DI INTIMISSIMI",10.0,"SET DUE T SHIRT BIANCO E NERA CON BORDI DORATI,COME NUOVE,LAVATE E IGIENIZZATE,MISURA S DI INTIMISSIMI"
119,TRÈS BON ÉTAT,RALPH LAUREN,M,2022-04-06,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
120,NEUF SANS ÉTIQUETTE,RAINBOW,4XL / 48 / 20,2022-04-01,T-SHIRT LONG T 48 À FILET DANS LE DOS,12.0,"T-SHIRT LONG TAILLE GRAND OVERSIZE T48 AVEC FILET MAILLES TRANSPARENT (VOIR PHOTOS) DANS LE DOS, TRÈS BELLES COULEURS, IDÉAL AUSSI POUR L’ÉTÉ ET LA PLAGE 🏖"
121,TRÈS BON ÉTAT,RALPH LAUREN,L,2022-04-02,T-SHIRT RALPH LAUREN,29.0,"T-SHIRT JAUNE RALPH LAUREN

-》TAILLE L
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
122,NEUF SANS ÉTIQUETTE,GUESS JEANS,L,2022-04-02,T SHIRT GUESS RARE OG,40.0,"BONJOUR ! 
JE VENDS AUJOURD’HUI CE TEE SHIRT GUESS VINAGE

CONDITION : NEUF POUR L’ÂGE, JAMAIS PORTÉ
TAILLE : L
ENVOI : PARTOUT DANS TOUTE LA FRANCE ET AILLEURS !
IDÉAL POUR L'ÉTÉ ! 

N’HÉSITEZ PAS À ME MP !"
123,NEUF AVEC ÉTIQUETTE,MOSCHINO,M,2022-04-03,LOVE MOSCHINO HEREN T SHIRT,50.0,LOVE MOSCHINO HEREN T SHIRT MAAT M NIEUW
124,TRÈS BON ÉTAT,ZARA,S / 36 / 8,2022-04-09,ZARA T-SHIRT MAAT S,2.0,BASIC ZARA T-SHIRT
125,NEUF SANS ÉTIQUETTE,CARHARTT,S,2022-04-09,T SHIRT CARHARTT,24.99,"T-SHIRT EN PARFAIT ÉTAT, PLUS D’INFO EN PRIVÉ"
126,TRÈS BON ÉTAT,TOMMY JEANS,L,2022-04-07,T-SHIRT TOMMY JEANS,20.0,"T-SHIRT TOMMY JEANS NOIR
ÉTAT IMPECCABLE, PORTÉ SEULEMENT QUELQUES FOIS."
127,BON ÉTAT,INCONNUE,XL,2022-03-17,T-SHIRT COLLECTION ROLLING STONES CONCERT XL,25.0,"T-SHIRT ROLLING STONES, COLLECTOR
COLLECTION CONCERTS, 
NOIR XL, PORTÉ QUELQUES FOIS, LES ROLLING STONES : UNE LÉGENDE !!! 
VALEUR 
BOUTIQUE COLLECTION CONCERT ACHETÉ 75€. VENDU 25€"
128,TRÈS BON ÉTAT,REEBOK,S,2022-04-04,VINTAGE REEBOK T-SHIRT,35.0,VINTAGE REEBOK T-SHIRT IN PRACHTIGE STAAT! VALT ALS M!
129,TRÈS BON ÉTAT,LACOSTE,M,2022-04-05,T-SHIRT LACOSTE,28.0,"T-SHIRT LACOSTE

-》TAILLE M
-》TRÈS BON ÉTAT, PETIT DÉFAUT (PHOTO 7)
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#LACOSTE"
130,TRÈS BON ÉTAT,TOMMY HILFIGER,S,2022-04-06,T-SHIRT TOMMY HILFIGER,29.99,"T-SHIRT TOMMY HILFIGER UOMO. 
COLORAZIONE BLU E BIANCA, TAGLIA S.
CONDIZIONI OTTIME, INDOSSATA POCHE VOLTE E NON HA NESSUN TIPO DI USURA O IMPERFEZIONI."
131,TRÈS BON ÉTAT,TOMMY HILFIGER,M,2022-04-07,T-SHIRT TOMMY HILFIGER,28.0,"T-SHIRT TOMMY HILFIGER 

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE 
#TOMMYHILFIGER"
132,TRÈS BON ÉTAT,RALPH LAUREN,S,2022-04-02,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN VERT

-》TAILLE S
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
133,TRÈS BON ÉTAT,TOMMY JEANS,XS / 34 / 6,2022-04-03,T-SHIRT TOMMY JEANS,10.0,"PAS MAL PORTÉ, MAIS EN TRÈS BON ÉTAT"
134,TRÈS BON ÉTAT,LEE,L,2022-03-15,LEE HEREN POLO T-SHIRT. GOEDE KWALITEIT.,5.0,LEE HEREN POLO T-SHIRT
135,NEUF AVEC ÉTIQUETTE,ERIC FAVRE,L / 40 / 12,2022-04-03,T SHIRT,5.0,T-SHIRT SPORT FEMME ÉRIC FAVRE MATIÈRE FINE ANTI TRANSPIRANT
136,TRÈS BON ÉTAT,RALPH LAUREN,L / 40 / 12,2022-04-02,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE XL MAIS CORRESPOND PLUS À UN L (TAILLE PETIT)
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
137,TRÈS BON ÉTAT,NAPAPIJRI,L,2022-04-02,T-SHIRT GRIS NAPAPIJERI,28.0,"T-SHIRT NAPAPIJERI 

-》TAILLE L
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#NAPAPIJERI"
138,TRÈS BON ÉTAT,TOMMY HILFIGER,L,2022-04-06,T-SHIRT TOMMY HILFIGER,28.0,"T-SHIRT TOMMY HILFIGER 

-》TAILLE L
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE 
#TOMMYHILFIGER"
139,NEUF SANS ÉTIQUETTE,VANS,S,2022-04-09,T-SHIRT VANS,8.0,T-SHIRT VANS COM PADRÃO
140,NEUF SANS ÉTIQUETTE,NIKKIE,XS / 34 / 6,2022-04-04,WIT NIKKIE T-SHIRT,15.0,AMPER GEDRAGEN
141,TRÈS BON ÉTAT,TOMMY HILFIGER,XS / 34 / 6,2022-04-04,GRIJZE T-SHIRT VAN TOMMY,5.0,"GOEDE KWALITEIT, ZIT NIET TE STRAK."
142,TRÈS BON ÉTAT,JENNYFER,S / 36 / 8,2022-04-09,T-SHIRT TUNIQUE JENNYFER TRÈS BON ÉTAT S,3.99,"T-SHIRT TUNIQUE JENNYFER

• TAILLE S / 36 / 8

• TRÈS BON ÉTAT, PEU PORTÉ

• MATIÈRE INCONNUE CAR ÉTIQUETTE COUPÉE

#JENNYFER #T-SHIRT #TUNIQUE #ROUGE #MANCHES #COURTES #LOLO121296VÊTEMENTS #S #36 #TRÈS #BON #ÉTAT"
143,TRÈS BON ÉTAT,H&M,M / 38 / 10,2022-04-09,T-SHIRT COURT EN JERSEY AVEC IMPRESSION H&M TRÈS BON ÉTAT M,3.99,"T-SHIRT COURT EN JERSEY AVEC IMPRESSION H&M

• TAILLE M / 38 / 10

• TRÈS BON ÉTAT, PEU PORTÉ

• MODÈLE COURT ET AMPLE

• 100% COTON

#H&M #DIVIDED #T-SHIRT #ROUGE #ET #BLANC #MANCHES #COURTES #JERSEY #COTON #LOLO121296VÊTEMENTS #M #38 #TRÈS #BON #ÉTAT"
144,TRÈS BON ÉTAT,VINTAGE,M,2022-04-07,T-SHIRT OXBOW VINTAGE,10.0,"T-SHIRT VINTAGE DE MARQUE OXBOW EN EXCELLENT ÉTAT EN TAILLE M 

#TSHIRT #TSHIRTOXBOW #OXBOW #TSHIRTOXBOWVINTAGE #TSHIRTVINTAGE #VINTAGE #VINTAGESTYLE #VINTAGELOOK #VINTAGECLOTHING"
145,TRÈS BON ÉTAT,RALPH LAUREN,L,2022-04-02,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE L
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
146,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,L,2022-04-06,T-SHIRT TOMMY HILFIGER,34.5,MAAT: L
147,NEUF AVEC ÉTIQUETTE,UNITED BY BLUE,XL,2022-04-02,T-SHIRT UNITED BY BLUE,25.0,"T-SHIRT UNITED BY BLUE
TAILLE XL
NEUF AVEC ÉTIQUETTE"
148,NEUF SANS ÉTIQUETTE,KENZO,M,2022-04-06,POLO T-SHIRT KENZO ORIGINALE - TG M,39.0,"ORIGINALE ACQUISTATA IN BOUTIQUE A MILANO DUOMO
COTONE 100%
COLORE BIANCO
LEONE RICAMATO SUL PETTO IN EVIDENZA

PREZZO DI ACQUISTO NUOVA: 107?
CONDIZIONI PERFETTE"
149,TRÈS BON ÉTAT,H&M,M / 38 / 10,2022-04-09,T-SHIRT MET PRINT,1.0,NOOIT GEDRAGEN
150,NEUF SANS ÉTIQUETTE,ORIGINAL MARINES,M,2022-04-09,T-SHIRT VINTAGE VACANCES COCKTAIL M,5.0,"NEUF, JAMAIS PORTÉ 
EFFET VINTAGE SUR L'IMPRIMÉ 
TAILLE M"
151,BON ÉTAT,ADIDAS ORIGINALS,S / 36 / 8,2022-04-03,T-SHIRT ADIDAS ORIGINALS,5.0,"BON ÉTAT, LOGO UN PEU ABÎMÉ"
152,TRÈS BON ÉTAT,DISNEY,M / 38 / 10,2022-03-22,T-SHIRT DISNEY BAMBI,6.0,"TRÈS BON ETAT
MATIÈRE FLUIDE TRÈS AGREABLE"
153,NEUF AVEC ÉTIQUETTE,PEPE JEANS,L,2022-04-09,T SHIRT PEPE JEANS GRIS,15.0,NEUF JAMAIS PORTÉ
154,TRÈS BON ÉTAT,BALR.,S,2022-03-31,BALR. T-SHIRT,10.0,ZIET ER NOG PERFECT UIT! AMPER GEDRAGEN.
155,NEUF AVEC ÉTIQUETTE,ELLESSE,XL,2022-04-06,T-SHIRT ELLESSE,20.0,T-SHIRT ELLESSE TAILLE XL NOIR ET ROSE PÂLE
156,NEUF AVEC ÉTIQUETTE,GUESS,XS / 34 / 6,2022-04-02,T-SHIRT GUESS,25.0,T-SHIRT GUESS
157,TRÈS BON ÉTAT,DOLCE & GABBANA,L,2022-04-09,T-SHIRT BY DOLCE&GABBANA,35.0,"*CLAUDIA*
D&G BY DOLCE&GABBANA T-SHIRT
PHOTO BY MARIO TESTINO
SIZE: 50
A= 50CM (WIDTH)
B= 70CM (LENGTH)
HOW -HOT- IS SHE, EH THIS SHIRT."
158,NEUF AVEC ÉTIQUETTE,LEVI'S,S / 36 / 8,2022-04-07,STUPENDA T-SHIRT LEVIS NUOVA,19.99,"•PRODOTTO ORIGINALE 
•PRODOTTO NUOVO CON CARTELLINO E CONFEZIONE 
•SPEDIZIONE IMMEDIATA 
#ITALY #ITALIA #FRANCE #SPAIN #LEVIS #LEVISVINTAGE #VINTAGE #MADEINITALY #SPORTSWEAR"
159,TRÈS BON ÉTAT,TOMMY HILFIGER,XS / 34 / 6,2022-04-07,T-SHIRT TOMMY HILFIGER,12.0,WORN 3 TIMES AND GOOD QUALITY! IT IS A NICE FABRIC FOR THE SUMMER!
160,TRÈS BON ÉTAT,VINTAGE,S / 36 / 8,2022-04-03,T-SHIRT VINTAGE,28.0,"T-SHIRT VINTAGE

-》TAILLE S
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN MOINS DE 24H 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE 
#VINTAGE"
161,BON ÉTAT,TOMMY JEANS,S / 36 / 8,2022-04-03,T-SHIRT IMPRIMÉ TOMMY JEANS,10.0,"TRÈS BON ÉTAT, JUSTE UNE TACHE QUI EST PEU VOYANTE"
162,TRÈS BON ÉTAT,SCOTCH & SODA,S / 36 / 8,2022-04-09,T-SHIRT SCOTCH & SODA,10.0,"STAAT MAAT 16 IN, PAST MET XS/S/KLEINE M"
163,TRÈS BON ÉTAT,BLEU BONHEUR,XL / 42 / 14,2022-03-26,T SHIRT DROIT BLEU BONHEUR T42 /44 CORAIL MANCHES 3/4,5.0,"EFFET BICOLORE SUPERPOSITION, MATIÈRE FLUIDE VISCOSE ET ELASTHANE, T42 /44"
164,TRÈS BON ÉTAT,TOMMY HILFIGER,XL,2022-04-09,T SHIRT TOMMY HILFIGER,18.0,"1 KEER GEDRAGEN, IN ZEER GOEDE STAAT"
165,NEUF SANS ÉTIQUETTE,VINTAGE,M / 38 / 10,2022-04-06,VINTAGE Y2K T-SHIRT DIGITAL PRINT BABY TEE,30.0,"BOUGHT IN A SMALL VINTAGE DESIGN STORE IN BERLIN 
SIZE M

#VINTAGE #Y2K #RETRO #PSYCHEDELIC #70S #80S #2000S #00S #Y2KSTYLE #ALTERNATIVE #90S #BAGGY #FASHION #ALT #LAYERED #DECONSTRUCTED #DIGITAL #CARGO #THIRT #BABYTEE"
166,TRÈS BON ÉTAT,LEVI'S,XS / 34 / 6,2022-04-03,T-SHIRT BLANC LEVIS,12.0,"PORTÉ QUELQUES FOIS, TRÈS BON ÉTAT"
167,TRÈS BON ÉTAT,NIKE,S,2022-04-06,T-SHIRT NIKE,35.0,PORTÉ QUELQUES FOIS TISSU DE TRÈS BONNE QUALITÉ
168,TRÈS BON ÉTAT,MICHAEL KORS,S / 36 / 8,2022-04-06,MICHAEL KORS T-SHIRT IN PAILLETTES,27.0,"MICHAEL KORS T-SHIRT IN PAILLETTES SUPPER BRILLANTE E PRATICA.
IDEALE PER UNA CERIMONIA OPPURE PER UNA SERATA.
TAGLIA S VESTE UNA 40IT E UNA 42IT CHE CORRISPONDE AD UNA 36EU E 38EU."
169,TRÈS BON ÉTAT,NIKKIE,XXS / 32 / 4,2022-04-03,ZWART NIKKIE T-SHIRT MAAT 32,20.0,ZO GOED ALS NIEUW !!
170,TRÈS BON ÉTAT,LEE COOPER,S,2022-04-03,T SHIRT COL V LEE COOPER,6.0,"T SHIRT COL V LEE COOPER 
TAILLE : S 
COLORIS : ROUGE BORDEAUX 
MATIÈRE : 100 % COTON 
TRÈS BON ÉTAT"
171,NEUF AVEC ÉTIQUETTE,AIRNESS,S,2022-04-02,T-SHIRT AIRNESS,12.99,T-SHIRT IMPRIMER AIRNESS NEUF PORTE ENCORE ÉTIQUETTE JAMAIS PORTÉ TAILLE S
172,TRÈS BON ÉTAT,JORDAN,L,2022-04-05,T-SHIRT JORDAN,20.0,"PORTE TRÈS PEU DE FOIS CAR TROP PETIT, LE SYMBOLE JORDAN S’EN VA SUR LA MANCHE GAUCHE (VOIR PHOTO) HORMIS CE DÉTAIL CE T-SHIRT EST IMPECCABLE. TAILLE L MAIS TAILLE PLUS PETIT."
173,TRÈS BON ÉTAT,LEE COOPER,S,2022-04-03,T SHIRT COL V LEE COOPER,6.0,"T SHIRT COL V LEE COOPER 
TAILLE : S 
COLORIS : NOIR GRIS 
MATIÈRE : 100% COTON 
TRÈS BON ÉTAT"
174,TRÈS BON ÉTAT,NIKE,S / 36 / 8,2022-04-09,T-SHIRT NIKE,22.0,"TAILLE : S 
COULEUR : VERT/KAKI 
MARQUE : NIKE"
175,TRÈS BON ÉTAT,SUPREME,M,2022-04-09,T-SHIRT SUPREME,80.0,"JE VENDS CE T-SHIRT SUPREME, ACHETÉ EN 2009 À TOKYO. TRÈS PEU PORTÉ, ÉTAT IMPECCABLE.

TAILLE M. 90% COTON, 10% POLYESTER. MADE IN USA."
176,NEUF SANS ÉTIQUETTE,ZEILLO PARIS,S,2022-04-02,T-SHIRT ROUGE COQUELICOT,15.0,"T-SHIRT ROUÉE COQUELICOT NEUF TAILLE S 
EXISTE EN M ET L"
177,NEUF AVEC ÉTIQUETTE,NIKE,M,2022-03-21,NIKE ANIME T-SHIRT,29.9,"NIKE DESIGN WHITE T-SHIRT

⭐️ NEW WITH TAGS ON

⭐️ SIZE MEDIUM

⭐️ NEVER WORN"
178,NEUF SANS ÉTIQUETTE,TOMMY HILFIGER,XL,2022-04-09,T-SHIRT TOMMY HILFIGER,25.0,"PORTER 1 FOIS 
✅QUE PAR MONDIAL RELAY ✅"
179,NEUF SANS ÉTIQUETTE,RALPH LAUREN,S / 36 / 8,2022-03-24,CANDIDA T-SHIRT DONNA RALPH LAUREN CON STRASS DORATI🌹,30.0,"SPLENDIDA T-SHIRT RALPH LAUREN CON LOGO CENTRALE FATTO DI PICCOLISSIMI STRASS , COTONE 100%"
180,TRÈS BON ÉTAT,COLOURFUL REBEL,S / 36 / 8,2022-04-09,T-SHIRT WIT MET TEKST COLOURFUL REBEL,5.0,"STOER EN SPEELS T -SHIRT MET TEKST EN NEON KLEUREN.
MAAT S
COLOURFUL REBEL"
181,NEUF AVEC ÉTIQUETTE,EA7 EMPORIO ARMANI,S / 36 / 8,2022-04-09,T SHIRT EMPORIO ARMANI NOVA,30.0,"T SHIRT AZUL NAVY, COM SÍMBOLO ESTAMPADO À ESQUERDA.
GOLA REDONDA."
182,TRÈS BON ÉTAT,KAPORAL,S,2022-04-09,T-SHIRT KAPORAL TAILLE S BLANC AVEC MOTIF,15.0,"PORTÉ 5 À 10 FOIS, EN TRÈS BONNE ÉTAT.
PAYÉ 25 EUROS
#SKULL #CRÂNE"
183,NEUF SANS ÉTIQUETTE,WOOLRICH,M,2022-04-01,DONKERBLAUW T-SHIRT VAN WOOLRICH,40.0,IK HEB DIT T-SHIRT VOOR ZOVER IK WEET NOG MAAR 1 KEER GEDRAGEN. DIT BETREFT DUS EEN ZO GOED ALS NIEUW T-SHIRT.
184,TRÈS BON ÉTAT,GUESS,XS / 34 / 6,2022-03-30,T-SHIRT GUESS,20.0,"⚡️T-SHIRT A MANICHE CORTE NERA GUESS
⚡️INDOSSATA POCHE VOLTE
⚡️CON APPLICAZIONI IN SWAROVSKI 
⚡️PAGATA 50€
⚡️LOGO SUL LATO POSTERIORE"
185,TRÈS BON ÉTAT,ZARA,S,2022-04-02,ZARA HEREN/MEN T-SHIRT MOVIE DRIVE MAAT S,2.0,"MERK/BRAND: ZARA
MAAT/SIZE: S
CONDITIE/CONDITION: GOED/GOOD
PRIJS/PRICE: €2"
186,NEUF SANS ÉTIQUETTE,STÜSSY,S,2022-04-09,T SHIRT,35.0,"INDOSSATA 2 VOLTE, TAGLIA S MA VESTE UN PO’ 
OVERSIZE"
187,TRÈS BON ÉTAT,STRADIVARIUS,M / 38 / 10,2022-04-03,T-SHIRT VAN STRADIVARIUS,2.0,AMPER GEDRAGEN
188,TRÈS BON ÉTAT,GOLA,M,2022-04-09,T-SHIRT UOMO GOLA,5.0,"MAGLIETTA CON STAMPA, INDOSSATA POCHE VOLTE"
189,NEUF AVEC ÉTIQUETTE,AKÈ,M / 38 / 10,2022-03-31,T-SHIRT AKÈ,15.0,T-SHIRT NUOVA TAGLIA M AKÈ
190,TRÈS BON ÉTAT,CAMAÏEU,XL / 42 / 14,2022-04-09,T-SHIRT CAMAÏEU,2.0,T-SHIRT GRIS CAMAÏEU ÉCRIT ÉLÉGANTE. PLUS LONG DERRIÈRE QUE DEVANT. PLUS D'ÉTIQUETTE MIS CORRESPOND À UN TAILLE 42-44.
